GENE_NAME	human	human	cow	cow	cow	marmoset	marmoset	dog	armadillo	gorilla	gorilla	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musMusculus	musSpretus	musSpretus	musSpretus	musCaroli	musCaroli	musCaroli	musCaroli	opossum	opossum	opossum	ferret	rabbit	chimp	chimp	bonobo	bonobo	orangutan	orangutan
PDPN	0.18	0.05	0	0.04	0.01	0.33	0.08	0.4	0.57	1.93	0.08	0.09	0.33	0.47	0.1	0.35	0.09	0.17	0.07	0.52	0	0.34	0.66	0.39	0	0	0	0.7	0.28	0.35	0.18	0.43	0.56	0.17	0.16
LRRC38	0.06	0	0.28	0.51	0.05	0	0	0	NA	0.05	0.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18	0.07	0	0	0.2	0.07	0	0
DHRS3	352.63	136.38	114.58	117.34	292.89	87.39	51.3	87.47	65.61	100.86	189.75	177.25	84.01	159.37	142.2	167.23	110.18	188.21	169.04	180.54	164.71	213.56	279.93	224.11	105.09	113.93	65.2	64.88	24.45	217.2	201.93	103.18	123.29	162.73	110.07
MATN1	0.04	0.01	0	0	0.05	0.11	0.09	0	0	0.15	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.15	0	0.1	0	0.08
LAPTM5	13.68	11.15	71.98	89.7	85.41	17.61	8.42	32.34	33.96	45.76	19.51	36.56	20.83	31.01	8	11.2	2.37	7.48	8.08	7.16	4.01	3.82	2.25	1.58	13.25	17.68	12.55	114.8	63.32	11.9	38.05	10.52	25.16	32.03	34.77
SDC3	11.45	3.36	21.5	52.29	68.83	21.28	3.22	5.25	4.39	7.4	7.66	35.5	29.5	30.67	14.53	20.48	4.77	9.35	14.39	8.32	4.07	4.67	8.76	8.27	285.73	253.25	249.96	40.35	41.97	8.4	19.76	4.44	7.6	30.6	3.42
PEF1	30.01	23.44	21.42	34.35	32.56	35.41	28.58	17.82	26	34.76	28.79	23.02	37.71	19.64	43.99	41.83	25.36	46.71	27.14	39.3	26.03	29.62	32.93	34.98	28.16	37.11	29.14	69.62	18.53	22.17	37.93	23.27	24.74	25.03	38.64
SYNC	0.42	0.26	0.72	0.44	0.68	0.77	0.75	5.45	10.35	0.52	0.19	0.08	0	0.07	0.18	0.3	0.3	0.03	0.12	0.05	0.45	0.17	0.36	0.89	0.89	0.52	1.64	15.49	0.06	2.67	3.17	5.08	5.93	0.59	0.21
KIAA1522	5.32	1.89	2.26	5.56	13.1	24.64	10.77	NA	1.08	1.19	1.62	27.17	36.79	26.13	41.84	41.22	14.36	26.03	41.06	25.45	16.83	10.11	40.72	28.15	14.52	17.18	18.43	16.12	10.41	5.28	8.37	2.73	1.61	10.83	1.01
TSSK3	0.92	1.3	0.59	2.04	5.12	11.25	7.63	7.59	0	1.05	0.64	0.26	0.1	0	0	0.06	0.02	0.05	0	0	0	0	0	0.12	1.01	2.05	0.94	0	0.15	4.3	8.38	1.03	2.29	0	0
TMCO4	4.72	4.48	4.12	4.29	9.65	4.89	4.74	2.29	2.7	2.44	2.31	7.3	9.56	10.73	9.92	11.16	4.95	6.16	3.99	5.04	6.1	5.34	9.66	5.47	2.03	2.64	1.82	5.79	10.41	0.85	4.24	1.45	1.19	9.86	4.97
ALPL	26.47	27.82	18.95	29.26	30.31	21.24	133.32	22.15	2.6	70.81	139.19	22.14	10.01	10.59	22.51	7.81	6.55	1.12	1.65	0.8	25.66	35.83	58.89	30.26	0.77	1.5	0.69	5.18	1.3	46.7	53.88	39.2	48.2	157.04	106.32
WNT4	1.93	0.66	0	0	0.05	0	0	2.44	0.05	0.45	0.39	0.52	0.68	0.93	0.29	0.91	0.52	1.56	1.91	2.18	0.92	1.27	0.83	1.62	0.14	0.26	0.13	0.15	1.06	0.36	2.59	0.68	1.84	0.54	0.43
TTLL10	0.45	0.17	0	0.04	0.34	0.04	0.03	0.17	0	0.17	0.13	0.04	0.92	0.27	0.22	0.1	0.03	0.08	0.06	0.31	0.13	0.53	0.18	0.26	0	0	0.02	0.23	NA	0	0.05	0.2	0.14	0	0.05
MXRA8	7.57	3.69	4.98	4.06	5.38	NA	NA	1.71	NA	6.73	6.52	3.73	7.29	10.74	2.66	5.14	3.06	3.21	3.13	3.54	1.15	1.1	2.17	0.99	6.32	3.83	1.97	NA	NA	NA	NA	NA	NA	3	3.95
MEGF6	2.32	1.84	0.91	0.49	5.36	5.54	1.86	4.16	NA	5.39	1.42	0.51	1.7	0.38	0.2	0.47	0.12	0.28	0.72	0.4	0.08	0.05	0.2	0.16	1.1	0.63	0.13	8.65	1.23	NA	NA	NA	NA	17.66	2.53
CCDC27	0	0	0	0	0.09	0.06	0.07	0	NA	0	0	0.03	0.06	0.03	0.03	0.01	0	0	0	0	0	0	0	0	0.36	0.31	0.03	0.71	NA	0	0	0	0	0.04	0
IL23R	0.1	0.18	0.39	0.14	0.09	0.1	0.38	0.31	0.13	0.19	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0.78	1.6	0.71	0.26	0.05	0.73	0.75	0.6	0.41	0.15	0.27
C1orf87	0	0	5.53	5.86	6.81	0.96	1.34	0	0.07	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0	0	0.01	NA	0	0.06	0	0.58	0.03	0	0
NFIA	21.85	7.38	45.91	72.22	61.32	31.58	3.72	25.35	17.91	10.47	7.37	14.65	18.63	21.65	12.3	12.8	6.79	8.05	34.85	13.43	11.56	12.85	19.02	25.57	53.56	64.21	35.1	53.8	88.2	16.55	4.72	9.7	9.37	16.13	6.68
OMA1	7.37	10.48	6.78	7.79	4.99	7.65	10.68	4.64	3.42	3.7	4.66	8.16	9.94	12.74	13.33	13.96	8.3	10.59	7.75	13.64	8.33	8.16	11.42	8.91	7.68	7.13	12.78	8.03	3.83	NA	NA	NA	NA	9.48	5.06
TM2D1	8.9	7.21	13.83	10.7	9.11	NA	NA	23.34	7.39	8.97	10.66	13.17	12.75	19.81	20.35	11.51	14.97	7.47	5.14	8.75	16.95	18.22	14.91	18	41.9	66.73	51.43	56.54	16.14	7.8	6.09	7.22	7.68	5.66	4.7
TFE3	11.53	4.74	15.52	19.26	22.98	4.26	1.93	17.3	11.14	7.12	8.23	10.61	16.22	11.13	15.84	15.39	6.64	17.88	21.83	17.56	5.77	7.01	9.62	10.59	59.59	67.38	46.97	22.41	9.37	18.22	18.7	5	4.98	32.65	17.8
USP1	1.26	2.29	18.86	11.12	8.53	5.44	5.63	6.19	4.33	4.35	2.52	5.65	7.05	7.38	8.84	5.15	5.2	4.27	2.93	3.36	1.9	3.17	1.98	1.41	7.09	13.84	10.96	20.81	12.27	2.7	4.97	3.54	2.4	3.16	2.63
FUBP1	10.41	10.68	19.15	18.98	12.19	9.72	7.95	12.97	12.04	10.51	8.99	4.4	7.22	10.06	7.76	5.77	3.51	2.79	3.36	3.25	3.72	3.47	4.15	2.81	18.43	19.8	12.13	34.56	14.87	8.49	14.42	8.2	7.2	13.39	19.82
NEXN	0.6	0.66	3.3	1.32	0.67	1.1	0.77	0.1	0.34	6.23	1.08	0.13	0.65	0.81	0.46	0.32	0.4	0.07	0.05	0.08	0.15	0	0.11	0	0.79	0.68	0.35	1.89	3.77	1.56	1.66	1.41	2.04	0.74	1.48
DNAJB4	9.49	4.43	14.81	12.41	6.62	26.52	19.09	5.27	14.76	8.46	2.68	26.58	13.63	23.53	17.73	10.99	9.81	13.86	7.02	10.56	4.47	5.85	3.76	2.67	33.31	47.1	23.83	9.91	25.67	8	3.59	4.75	8.68	5.87	12.51
LRRC53	0	0	NA	NA	NA	0.02	0	NA	0	0.03	0.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0.07	0	0	0	0	0	0	0	0
TYW3	3.85	3.53	14.92	8.27	7.97	9.02	14.8	0.72	1.3	3.54	2.89	1.51	1.61	1.74	1.09	1.65	0.71	0.68	0.7	0.26	3.65	4.32	1.86	2.21	1.37	2.05	3.6	4.89	3.14	2.09	3.59	3.4	2.08	6.18	3.53
LHX8	0	0	0	0	0	0	0	0	0	0	0	0.3	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0.05	0	0	0	0	0	0	0	0
TBC1D25	6.05	2.65	1.85	3.85	6.83	8.65	4.54	3.58	2.54	NA	NA	1.94	4.49	3.05	3.62	2.53	1.43	3.6	3.7	2.87	1.71	2.49	3.96	3.55	6.19	11.4	4.22	13.38	10.01	NA	NA	NA	NA	3.63	3.33
NTNG1	0.02	0	0.14	0	0.02	0.06	0.02	0	0	0.1	0	0	0	0	0.09	0	0	0	0.08	0	0	0	0	0	0.38	1.25	0.24	0.31	0.04	0	0.3	0.23	0.05	0	0.03
WDR63	0.02	0	0	0.03	0.01	0.77	0.89	0.18	0	0.07	0	1.43	0.49	0.31	0.06	0.02	0.04	0.39	0.59	0.45	0	0	0	0	0.87	1.96	0.12	0.13	0.05	0	0	0.1	0	0	0.03
ZNF326	8.55	4.63	27.37	20.49	24.63	31.09	24.3	24.25	3.33	9.01	7.68	9.22	9.43	10.91	10.19	8.61	5.2	6.07	4.95	7.82	6.89	6.94	8.08	7.34	5.62	11.56	19.57	21.65	43.31	9.9	9.42	9.64	10.48	10.42	10.69
ACSL4	4.78	0.56	11.71	13.54	4.43	13.4	33.8	326.22	6.08	6.02	8.65	22.59	25.71	25.14	23.02	10.97	8.01	7.18	4.78	5.62	17.08	14.21	11.51	16.29	61.83	66.42	129.12	449.2	8.71	5.81	24.79	1.93	3.51	41.6	26.65
BRINP3	0	0	0	0	0	0	0	0	0	0.05	0.11	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.04	0.07	0.08	9.01	0.05	0	0	0.1	0.07	0	0
GFI1	0.35	0.25	0.32	0.28	0.84	0.14	0.02	0.28	0.1	1.31	0.46	0.09	0.55	0.12	0.04	0.03	0	0.04	0	0	0	0	0	0	0.31	0.53	0.23	0.89	0.14	0.2	0.77	0.16	0.49	0.31	2.24
KCNT2	0.27	0.52	0.57	3.28	0.46	1.03	3.01	6.49	10.41	2.53	2.46	0.23	0.55	0.29	0.38	0.3	0.66	6.48	3.99	7.23	0.03	0.06	0	0	0.22	0.31	0.54	0.26	0.29	0.36	0.45	1.35	1.4	2.85	2.09
EXTL2	2.04	2.06	1.26	0.74	1.34	4.97	3.96	7.48	2.95	7.33	6.15	3.44	3.38	3.07	4.29	3.47	2.94	5.55	4.39	5.16	0.92	1.54	1.64	1.37	2.93	2.76	5.67	17.67	9.74	2.89	1.9	6.57	3.9	1.06	0.63
SLC30A7	2.03	1.28	4.34	4.98	3.88	4.46	1.64	3.31	3.82	7.15	7.27	3.16	5.24	3.58	5.3	3.36	3.16	5.57	3.99	4.64	1.69	2.13	1.56	1.72	8.09	5.27	11.38	13.58	13.37	1.17	4.97	1.17	1.17	2.59	2.6
ZNF281	4.19	3.04	11.65	13.37	21.23	6.65	2.97	NA	5.6	3.68	3.41	7.26	6.07	6.22	8.05	5.66	6.03	3	2.68	2.16	2.29	2.36	1.93	1.95	8.13	14.6	20.83	27.36	11.1	9.14	4.38	4.53	7.64	NA	NA
INPP5A	14.86	5.87	13.43	22.7	13.41	15.8	6.15	5.74	6.82	6.89	7.13	11.21	11.17	14.03	11.04	8.04	6.6	21.35	18.24	22.03	5.55	5.14	4.63	5.08	2.23	4.99	0.22	8.65	NA	11.52	6.27	6.57	5.44	4.6	3.06
CADM3	0.11	0.32	0.1	0.44	0.13	31.28	1.65	0.1	0.23	0.09	0.05	3.09	4.06	4.83	2.05	2.74	1.89	5.2	9.2	5.24	4.97	3.17	5.61	4.76	109.07	125.12	48.15	7.12	0.06	0.14	0.04	2.9	0.11	0.16	0.23
TRIM58	0.14	0.14	0	0.06	0	0.44	0.13	0.05	0	5.94	6.45	0.21	0	0.07	0	0	0	0	0.06	0	0	0	0	0	0.25	0.16	0.04	0	2.15	0	0	0.13	0.14	0.09	1.36
SLAMF9	0.56	0.11	0.16	0	0.05	1.97	0.87	0.72	1.77	NA	NA	0.46	0.37	0.89	0.09	0.51	0.14	109.31	63.48	75.64	0.22	0.12	0.11	0.11	0.41	1.18	0.52	2.77	0.04	0	0.07	0	0	2.68	0.55
KCNJ9	0	0	0	0	0	0	0.05	0	0.16	0.32	0.3	0	0.25	0.21	0.07	0.05	0.01	0.02	0	0.03	0.09	0.05	0.04	0.13	0	0	0	0	NA	0	0.15	0.11	0.07	0	0.02
IGSF8	28.12	22.66	4.24	2.67	16.92	6.98	22.97	8.27	4.72	20.76	26.68	7.47	15.53	7.75	6.5	6.09	3.52	3.85	2.25	3.26	2.2	0.92	2.25	3.09	10.16	8.2	2.26	5.04	46.47	44.48	7.56	21.96	24.36	20.08	11.23
DDR2	0.41	0.74	0.5	1.04	0.64	0.39	0.3	0.32	1.39	2.64	1.53	0.64	1.08	2.01	0.57	0.71	0.45	0.45	0.55	0.28	0.43	0.55	0.43	0.71	1.16	1.14	0.51	2.95	2.09	2.95	1.08	2.05	1.56	0.9	0.28
PEA15	16.63	9.88	32.9	41.93	28.21	24.51	11.26	2.67	6.1	40.45	24.61	8.12	12.22	12.31	10.24	8.96	6.91	14.51	13.99	14.89	5.81	5.8	8.45	9.22	11.34	17.76	4.52	26.06	11.4	30.65	38.32	22.13	15.86	23.01	37.46
NCSTN	22.98	19.21	25.13	35.33	33.76	43.53	24.81	24.67	10.65	17.34	16.34	26.16	34.08	37.59	29.74	31.85	11.03	24.42	22.6	20.86	15.26	16.75	16.96	21.63	42.73	53	47.3	102.69	83.98	17.22	29.21	14.28	22.48	13.69	10.09
VANGL2	0.11	0.07	0.08	0.09	0.21	0.04	0	0	0.39	0.2	0.2	0.25	0.56	0.66	0.24	0.15	0.39	0.27	0.26	0.24	0.14	0.11	0.17	0.08	2.15	1.52	1.12	0.49	0.24	0.09	0.05	0.03	0.15	0.27	0.11
OLFML2B	0.32	0.32	0.76	0.96	1.13	0.22	0.14	1.91	0.32	1.16	0.69	0.15	0.23	0.15	0.23	0.18	0.07	0.32	0.43	0.5	0.15	0.02	0.52	0.09	1.84	1.71	1.19	10.79	3.24	0.74	0.67	0.56	1.75	1.64	0.38
FCRLB	0.75	0.51	0	0	0.15	0.09	0.04	0.16	0.68	0.47	0.21	0	0	0	0	0.03	0.03	0.35	0	0.68	0.22	0.3	0.61	0	0	0	0.04	0	1.21	0.42	0.88	0.56	0.38	0.44	0.24
KLHDC9	3.19	4.33	0.07	0	0.38	0.35	0.23	0.14	0	2.53	2.95	0	0.09	0	0	0.36	0.25	0.58	0.31	0	0.6	0.31	0.98	0.89	0.4	0.81	0.72	0.16	0	4.1	1.67	5.48	2.8	5.82	4.59
C1orf74	1.04	0.74	2.61	4.82	5.92	2.7	2.25	6.53	0	0.96	1.14	4.06	2.91	2.94	3.62	3.08	3.16	4.08	1.8	3.09	2.6	2.47	1.02	0.89	2.46	0.48	1.11	4.42	2.17	0.55	1.82	1.84	0.77	NA	NA
LMX1A	0	0.03	0	0	0	5.36	1.72	0	0	0	0	0	0	0	0	0	0	0.04	0	0	0	0	0	0	0	0.03	0	0	0	0.49	0.06	1.93	0.32	NA	NA
LRRC52	0	0	0	0	0.02	0.35	0.03	0.1	0.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0.07	0	0.15	0.45
GRIPAP1	14.73	8.02	21.72	20.73	30.28	10.72	6.01	6.36	9.48	8.98	10.42	17.81	24.93	21.22	20.94	20.76	8	17.03	11.93	11.09	7.38	9.54	11.35	11.7	42.86	55.16	20.31	32.97	8.75	NA	NA	NA	NA	15.21	9.23
FLVCR1	1.87	0.8	0.88	0.87	1.1	1.95	0.7	4.04	15.72	0.41	0.29	1.21	1.65	0.86	0.86	0.81	1.21	1.07	0.45	0.65	0.17	0.36	0.22	0.72	3.45	4	5.99	2.25	3.71	0.86	4.01	1.18	0.54	2.16	1.84
RBM15	2.94	0.8	2.59	4.34	5.25	1.36	1.14	2.23	1.55	2.39	1.71	7.75	7.15	9.24	5.69	4.37	2.53	2.68	2.38	2.44	2.31	1.65	1.67	2.11	1.83	3.03	1.03	5.78	8.94	3.42	2.33	2.41	2.12	2.33	3.12
DENND2D	8.49	7.45	4.05	6.21	4.12	7.99	6.83	14.3	45.24	5.79	2.22	3.15	2.96	4.01	3.1	3.27	2.58	6.87	2.62	4.41	12.52	16.05	10.41	14	6.95	11.3	8.34	34.45	8.23	1.07	4.37	3.9	4.46	7.76	5.12
AXDND1	0	0.07	0	0.03	0.01	0.09	0.04	0	0	0.79	0.95	0.66	0.94	0.45	0.37	0.16	0.35	0.11	1.33	0.48	2.5	2.03	1.65	3.09	0	0	0.08	0.11	0.09	0.13	0.02	0.15	0.13	0	0.05
TDRD5	0	0.04	0	0.03	0.02	0	0	0	0	0.07	0.02	0	0.07	0.02	0	0	0	0	0	0	0	0	0	0	0	0.04	0.21	0.42	0.4	0	0	0	0.02	0	0
SNED1	12.61	1.99	0.26	0.51	1.59	6.69	2.37	1.82	0.44	5.52	4.35	3.52	5.14	5.51	3.24	6.1	1.61	3.38	4.06	2.53	0.96	1.49	0.78	1.39	0.83	1.1	0.36	1.6	2.08	6.87	2.67	4.27	2.39	3.52	2.69
BPNT1	12.84	8.46	18.2	23.24	15.86	20.93	8.25	7.99	15.2	16.32	24.19	110.67	86.2	82.8	47.77	67.34	28.08	54.4	36.88	62.73	10.85	9.56	11.97	11.3	19.92	25.27	40.2	38.76	58.26	13.29	16.02	16.12	13.42	15.4	6.31
SPATA17	0.97	0.72	NA	NA	NA	1.71	0.28	0.1	0.13	0.04	0.14	0.13	0.59	0.31	0.17	0.33	0.15	0	0	0	0	0	0	0	0	0	0.03	0.07	0	0	0	0.08	0	0	0
C1orf115	66.54	34.46	26.58	5.58	39.27	NA	NA	0	NA	28.8	46.95	130.56	62.3	109.98	116.18	130.1	76.37	96.43	63.25	90.52	89.38	79.7	94.16	81.76	15.82	19.9	56.61	NA	83.12	156.38	22.87	18.51	12.96	50.3	52.54
BROX	2.24	3.13	9.2	9.69	4.92	7.97	4.6	8.08	4.12	4.81	3.73	7.98	12.99	11.96	15.09	11.97	8.38	8.98	3.39	6.52	3.72	3.62	3.11	3.93	2.6	2.97	7.19	23.19	12.85	3.27	4.92	4.49	1.97	3.51	3.12
ACP6	6.38	11.39	21.95	26.96	31.51	72.89	56.66	26.31	46.83	27.51	25	40.12	27.59	31.55	43.45	37.78	26.95	45.4	50.43	47.73	17.73	21.5	33.78	35.74	25.01	25.84	8.59	12.35	24.4	14.57	7.8	15.32	19.56	10.38	6.93
KIF26B	0.07	0.09	0.02	0.07	0.1	0.22	0.02	0.09	0.1	0.11	0.14	0.3	0.18	0.16	0.37	0.27	0.05	0.32	0.66	0.35	0.18	0.15	0.21	0.22	0	0	0.01	0.88	1.23	0.38	0.49	0.15	0.07	0.05	0.01
CNST	4.04	5.1	2.79	2.63	2.75	9.58	6.13	3.43	2.86	5.47	3.65	6.12	3.3	8.37	3.48	3.33	1.78	1.73	1.17	1.74	3.24	3.1	2.88	2.63	3.05	4.12	3.85	5.4	4.61	6.89	2.87	8.99	10.13	4.04	6.02
PPP1R21	3.51	5.1	6.77	5.17	4.65	7.56	8.92	11.7	6.71	6.84	4.62	7.28	8.71	7.58	7.5	9.68	5.2	8.49	3.69	4.97	4.37	4.59	3.34	4.96	2.32	3.14	5.41	24.58	7.78	3.5	3.41	3.9	3.97	5.72	2.36
